UserID,productcode,review_rating
22731310,10428P1,5
22238169,285016,5
18166004,34949P9,1
22964364,42034P3,5
22521276,6517FOOD,5
18681284,5192ZIP,5
22128837,14856P7,5
15736419,2190CEDT10,5
22956357,32917P9,3
15736419,24963P1,5
21974144,2295HANGI,5
22956357,20268P3,5
22997492,2916MALPRT,2
22765871,10726P44,5
22765871,10726P45,5
22955131,6897MOUNTS,5
22171567,3627PARHTLAPTCDG,5
22171567,5622VERSAILLESPARVIP,5
20323224,2042SIC_03,3
22184170,30796P2,4
22900933,22869P9,4
22655057,8954P3,5
22900933,2916BARCELONA,5
22900933,3142MONTSAGRADA,5
20445733,14782P1,5
22046369,7812P1,5
16545482,2360MAUI2,5
23123025,5516ST1,5
18510822,5419P74,5
22714689,5008RAK03,5
22679978,24338P4,5
22714689,5008RAK05,2
22679978,6718COLOSSEUM,5
199372,24285AGROUP,5
22714689,7674MERZOUGA,4
199372,24284GROUP,4
22762345,12732P5,4
199372,2390GRET14,5
7330292,3562LC,5
22892065,3058TIVOLI,5
21017891,18744P10,5
22305149,9205P4,2
23147941,2666MUSIC,5
23147941,285016,1
13215935,5383GOURMET,5
13215935,5507KNIGHTSTEMPLAR,5
23144756,3355C1,5
5684001,5251FLEXI,5
23035711,7091SAVER,1
15646700,7249P5,4
15646700,7245P12,5
20776590,5885MEXSUPER1,4
20776590,2895MEX8,3
16215403,2970AH150,5
20776590,8136P6,5
15646700,5482VER_FOUNTAIN,5
15646700,3588PARIS03,5
15646700,7245P12,5
6366864,3685BKK26C,5
6366864,5383SINTRACASCAIS,5
15646700,5284ROME1,5
21191976,9205P1,5
22712928,2504SBT,4
22159091,17279P2,5
15646700,3058TIVOLI,5
22997703,2224PRAGUE,5
11670637,34562P1,1
15646700,6718P20,5
16866963,5560HIGHLIGHTS,5
22625893,7231P4,5
22547976,2916ATHENS,5
20288690,5204YASAWA6D,5
20518464,285016,5
19912215,2514REP_SIEM2,5
20518464,2666MUSIC,5
4309450,5529BRUHTLAPT,5
16495520,6432MOBAY,5
4309450,2200DEBE,4
4309450,5529BRUPTHTL,5
14543665,2190CEDT10,2
21151527,5885CUNCHI,5
14543665,5808SZECHDINNER,5
20518464,2666CAMP,5
21365056,5250P14,5
22263961,2625LOOP,2
1893406,3112BROOKLYN,5
1909237,5548NYCHTLAPT,1
2246248,43696P1,1
1909237,2624ABUDHABIHOP,5
14888462,34141P5,1
21833587,2142TYO_F880_F830,5
2280092,19933P2,5
2280092,31724TH,5
9635069,5221EEAACT,2
2280092,40455P2,5
14836743,3731VATICAN,4
11364198,5765COASTAL,4
9812490,5640P61,5
19912215,6686HKTPHS,5
21930596,3807GCN,5
23082338,34895P1,4
21930596,32242P1,5
22725998,14261P1,5
19912215,27424P2,3
12226550,3251TOW,5
22405979,36001P2,5
12226550,2988LONDON_EYE,5
19912215,16035P1,5
12226550,3858EE065,4
19912215,2168DXBAPTHTL,4
12226550,3302OT,3
22127603,6183DINNERSAF,5
9635069,22551,5
22936899,8812OTSTORIES,5
19912215,2168DXBHTLAPT,5
22196480,5133_W0010,4
22717188,15880SEVEN,5
22196480,3961OTHREE,5
21495078,10200P9,5
22196480,2774WHALE,3
22251451,13710P6,4
22196480,3487TICKET,3
22251451,15254P7,5
22920083,25014P1,5
19889664,2140_A12J,4
22979185,3951SRB,4
22860586,9406P3,5
23061007,2402MUIRWINE,5
21273613,2856HRCAMS,3
2084149,3262_CAIRNS,5
21273613,8084P349,5
21273613,2550LIN7,5
22624743,6422ISLAND,4
22728863,2550LIN2A,4
21580349,2872ZV07,5
14136776,3731GHOST,4
14136776,5034ROMAPTHTL,4
21984321,46018P6,5
21984321,7251P2,5
14136776,3731CRYPTS,5
23162093,20190P28,4
22917072,2402YNP,5
19912215,3685HKTAPTHTL_P,5
19912215,3685BKK21P,5
22917072,3951SRB,3
22289888,2140_A4L,4
23123940,24204P1,1
22087097,26599P6,5
20747042,23068P2,5
15768599,33060P4,5
22840240,10527P2,5
23092249,19720P1,5
19912215,3685BKK10P,5
19912215,3685BKK11P,5
15768599,5070TUSCANY,5
